"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2022-04-17","10:21:32","Horário Padrão de Brasília","QR Code","35220412305443000170590007472970115049901555|20220409185306|51.18||pbBwsylvpJ+rax5uAonXGbdNp+jMKdhPFhVicRkkvmhm1wj9L0uGXdpBKm9DkWyvkScMSuvXCGtkUhpqCasxFgndSnbI879mZQQKLZxLQaFfBvnQBgYSdBVjcEi79cds1SM25RFYgiYBUmPwpNHy+fucc+mbqImMv0gMrWMJUVFNiEv8w2ZNX4wdQ3By4VZTJc2gxa3FNk8osH+ivqP5qoruz29B1yb8r81JL9Jq0pJ8vxBkllzQX/7A5OodetNQ1qhNC4bCwU6bunjfZVlFSsDie/KixObwnaIU51TIIjqiwRYehJulDEMpeMRxr6RPZ/9x31Tqn0fo6ybtDAJMLg==","","0","2022-04-17","13:21:32","{""ec"":""L""}"
"2022-04-17","10:21:36","Horário Padrão de Brasília","QR Code","35220412305443000170590007472970114792900586|20220409172642|6.86||dpSOnDygmkFjeBFz+zpzLoy+oFLvrFJa3X3UqyTzgjYXPJOWYw2LHDjJdyFZi7fBCbHXT8i2eB5fWWF1MnofpeUagXaFrzXfK4rl0wecedxxat4Lt8bOOiLP6Hq0v4BvWmDRL3BKZbBIRk0B1GNw18m4rFRps7rndhmYxWRVSQv7MoTY0CCAEHWyfoQvd+MzWngOlofB0w8Ntgye79tYwlQBEnquBu3I4f4bi8G6mqC3L+DVzA/0UQQLDNv3bqzRSxgaLdlkfBLeyxQxkhK+T4S18LuXsued+lmeGS89XMe3lEX7SZOKNp+p2raXpeJtH5qD2aHcdMloJQhQ+9sBhQ==","","0","2022-04-17","13:21:36","{""ec"":""L""}"
"2022-04-17","10:21:44","Horário Padrão de Brasília","QR Code","35220412305443000170590007194560816309616101|20220412191006|11.97||ofOyEZIJ6iM00Hov0jlVG0NWMBuk0CiSZ9KjurZiI20QrqcNGBsB6DrcX5+VxEM3qmwJ3dnaEZC+ozEkgvoSEvjYbdeu8yFCYy/CgNADj7Twa45GRLB6Tg6ieFD9PwIYjOClcY90F2dJyVjyCx5hkf3Rwa0bnF+uGUgi6FlWw+wGWL5sc7T+ac5px57G7Ft3F0rrjo1b0EqHRTB/ZTRi5EEEbpdTrU+ETbbo23bMamz+rIA4I1MKKYWnnjs/xNdsoIdU0YJADwGKKhWg0T2D15rP28yxN2i/9RHid6Sv0y6gbhvQJ2FEVKW5SVb+IFfKLtJWCdCLwGdSEBqFnSVAlQ==","","0","2022-04-17","13:21:44","{""ec"":""L""}"
"2022-04-17","10:21:49","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004154945134|20220413072101|9.95||S0zo1xAonvm7rcqsXZfbcKSN5vLsRTBD8SUUrujOeGW1h07zdYvBI2UA+X5jruJOoDhtrgKtusSTRY0NAWJUmzKFhn95Ke0KprrGma3in6m67kijjZ9tmdLyqYJrjGIZuIYcgCjtCuIGM7rrZq7mefqhGxX6qcDxvhdK0rHLXN7So+4vtNWYjpCQ0MIPC9R10e4l1pRM5HJAd40wnQWA2BNoGgDRt5ZWDyFVA/qtP1KrKsZYYvGA/Yaq+2vdwdus/g6vR2LgZedIgga4J79Aana9AfThsqxMCBMqFFqP1iXd+A11TlF46owjhtrYI+S9DYJ9YYsRY6OgLTarnexcVQ==","","0","2022-04-17","13:21:49","{""ec"":""L""}"
"2022-04-17","10:21:57","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004218407120|20220413072954|10.14||M4s+o+zGuVyW2sAD4/kSq6GlBMVdElYeSmPiACMy86Gcyx7gBwNo0Z8k5gKE8U0foyPaJSVhbOQek+bXrxcwLaSjmgaonMf98A+xtyRQD7Pb0fjiCZ9y1SW6KatX3hzG9SnlDq/B0KTNK5LJo7oPlO3M95kT8xG2oqxXf51OMO0VJHoBJ1QEgDHDjarL0gO2r+ouISHECdpZwGOfBcJdr01VD2Vd/zrs2gzpxlSuDVB1crtI6vXGbpuWcOXFkarDyMkbhax77oW6Y3+PcGBCkZdgIxr1ojdV1vzVcUPlaZiFaFPgBopRlGuEU+GhV/WlQdKZ7vwR8bI211DJKhhtaQ==","","0","2022-04-17","13:21:57",""
"2022-04-17","10:22:04","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004221949272|20220413073028|1.96||qlnD2blzjzbTO1Hvs9qI4oOn8+fWHfwy/hM1iYf++90ly7kibUuNbhOxF5Opc1nWqOisERtHFesoDjOnnCHI3Z3nBKOlYs0YK2wnbkj+bdXn1BbpFCRIHRQTW+80/pT5aPFOpk1STTxvTZuGuhoJvgjnXl75q2X6ZLKGEXcwTNPzqNZXA39RuB5W6X7d06Mk/kn0xlVDreIIjh3Ck7NO8HkLEJugmu7yQ8KyExsxVBxalJyBt3238ksu3ujglWbpSI1Eu62+mEPIZiVDCCn3z8FKgTS+QzXFIdKzBd6IcplmOarugdkaNltpMiKcxKbimnrtsZOt6w/PpKJjDLjVAQ==","","0","2022-04-17","13:22:04","{""ec"":""L""}"
"2022-04-17","10:22:09","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004246665138|20220413073204|11.89||X9nXeJCMVJpG/XVsGThGUANUOj2wmpioP3jfmpevIlXjgLak6eTQcGlb0TFqnbe+pL+WnyDKyXe/T6YoBP+/HBAwS3YcDc6eIOA2PlGVNsZzEbufEpaJ688tFUEjKQDs0Wlx1gWeDwRUbElRj/ZSxwqSG01bwrIrpwtV/hkd2OpJgpTwnCrTrOKeyKlhAdV6cZsiFjqnJle3FpGcyIZtDg2W3qsgvZOnYvq3vQxeKYJCF5sLpQ2tE3RSsQYGScI4iXxWa5NEzdkjEUrKu0ZWSuQsPcRewz6gKhbCpA4z5KcwpxCsaHHGZw9nG3tu0l4F8D+TUfOsXIybY8apeu48lQ==","","0","2022-04-17","13:22:09","{""ec"":""L""}"
"2022-04-17","10:22:14","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004189686801|20220413072757|5.46||USf2AuYTFD/Fz2c0Upz+80qj5DnNQgaFq06BfEPkWQcQmH7pAqg2d/cYBMqUkBYuf20SfU+CnLC/nLoL1/ZV6H4aBNcHQNKL39TTxJuRlMDG9eBJFB2zpLSANJyKoZtJzn4ZPNL0yR4GCnp5/Lhyy1ox8084J3edmLJcmoEMjbULGo33009aRxAn6D9Nfzh86nT7JoxGOOeZsRsW/zOzejbbXJiotH1mrV0QaAwkAFZbi0N24BlNJeyVocSjOnCi5uw2rjZcoCWnG0ttuisGTGVWmI5a+FDg7nxA2RLpzfysadMnkmd6cicCN/pFKfpGNsS+QtYAiC8pbs9yspVhdA==","","0","2022-04-17","13:22:14","{""ec"":""L""}"
"2022-04-17","10:22:19","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004160580533|20220413072523|14.47||LPQRMJwEF9gvw3RtQInzvk+9gvEIlD835dJo5Akp7ePFnTT0Awv8o70n0hfVuXSSslWU2gReGBPOE7o0MLCn1lLWzehd/jUy77V8h5uN6v7YmLTH+hcekawVStoHHtrlacb8oMMf5F4ZXOYJppib0R/91ch1lwTOLAfKMiOlDVKqk3gBDIen9kmz9nzIClvEBw1NZTvNKfNVXlXTCYwOE5uyHY4E9cN+wi7llM/VZgAheMtvOfeOtE6QrkOBcVGUcWzLpMh3hx3AkUkpziB9nZ5P5h3U0moKNxxt+Nn0FchhvkOT24BI4AUEhd7mue9eZPbcJ9r/8ftfKVMezjQCiA==","","0","2022-04-17","13:22:19","{""ec"":""L""}"
"2022-04-17","10:22:24","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004250933737|20220413073426|40.31||0nW05jbAONzdjf7dWyiZGUk+sj+TnVe3cEm/FHD8qxPKyAKYqC6WmEqqZhJNhEU66s1L/Xms0Fn6thZkQAUjArbZ6dL7P/RYgIgf0rFLUydOiwqMaHIGUwxjiNuslovIyJDUswmHqhXp30qxeFRVGCgJyi9PPbN9C+/jf9wrVXMMvVkNrEcKIdtqXNEU0I0yFjeQFCSau8YIq/yXKwSLTe6NRB97i4C51zmjg8aYcUSQDlUQq7fCQxCsa1t0dRDcaTnTf9xmLWtUNKK//KzisOCKwcDRJ/P6s6h4PQ/i7cU8RqcyUSNBTK0dxtnhECNlB4cE54DjKGoeniBtqs2I+g==","","0","2022-04-17","13:22:24","{""ec"":""L""}"
